,Cocktail Name,Ingredients,Garnish,Preparation,All Ingredients
234,THE NAUGHTY & NICE,"1.25 oz Glenrothes Vintage Reserve, .75 oz Drambuie, 2 oz Woodchuck Pumpkin Cider, .75 oz Spiced Butter*, 3 dash Bittermens Elemakule Tiki Bitters",Chrusciki Cookie**,"Heat cider to 180°F. In a 5 oz cup pour the scotch and drambuie. Add the heated cider. Stir in the spiced butter. Top with 3 drops bitters.

For the garnish, add 2 small cocktail stirrers, hang cookie off of the stirrer so that it leans off of the side of the cup.

*Spiced Butter:
-- 1 half Stick Butter
-- 1 tbsp Pumpkin Pie Spice
-- .5 tbsp Brown Sugar
-- .5 tsp Cayenne Pepper

Soften butter, add spices and mix with a spoon until all ingredients are combined.

**Chrusciki Cookies:
-- 1 c All-purpose Flour
-- 3 Egg Yolks
-- 3 tbsp Sour Cream
-- 1 tsp Vanilla Extract
-- 1 tbsp Dark Rum
-- 1 pinch Salt

Using a mixer, incorporate egg yolks into sour cream, add vanilla and rum, kneed in all-purpose flower and salt to taste.
Divide dough in half on a floured board and let rest for 20 min. Working with half the dough at a time, roll out to 1/8 in. thickness, cut into 2 in. wide strips, cut these strips on the diagonal at 4 in. intervals.
Heat 2 in. of vegetable oil in a large deep skillet to 350°F. Make a slit in the center of each strip of dough. Pull one end through the slit to form a bow.
Fry 6 Chrusciki at a time for 1 min. or less per side till golden brown.
Drain on a paper towel and dust with confectioners sugar.
","1.25 oz Glenrothes Vintage Reserve, .75 oz Drambuie, 2 oz Woodchuck Pumpkin Cider, .75 oz Spiced Butter*, 3 dash Bittermens Elemakule Tiki Bitters,Chrusciki Cookie**"
235,THE KING'S CRANBERRY SAUCE,"1 pkg, 14 oz Cranberries, 1.5 c Brown Sugar, .5 c Orange Juice, .3 c King's Ginger Liqueur, 8 whole Pepper Corns, 6  Allspice Berries, 5  Cloves, 1 stick, 2 in Cinnamon",,"Heat cranberries, sugar, OJ and King's Ginger over medium heat. Place the peppercorns, allspice, cloves and cinnamon in a piece of cheesecloth with the end tied. Add to pot. Cook stirring often until cranberries soften about 25 to 30 min. Refrigerate for 1 hour before serving.","1 pkg, 14 oz Cranberries, 1.5 c Brown Sugar, .5 c Orange Juice, .3 c King's Ginger Liqueur, 8 whole Pepper Corns, 6  Allspice Berries, 5  Cloves, 1 stick, 2 in Cinnamon,"
236,MEXICAN SAZERAC,"2 oz Chinaco Reposado Tequila, .75 oz D'Aristi Xtabentun Honey Liqueur, 3 dash Peychaud's Bitters",Lemon twist,Ice: Large block or spherical,"2 oz Chinaco Reposado Tequila, .75 oz D'Aristi Xtabentun Honey Liqueur, 3 dash Peychaud's Bitters,Lemon twist"
237,ROASTED CHERRY COLADA,"2 oz White Rum, 1.75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Coconut Milk, 1 oz Fresh Lime Juice, .5 tsp Demerara Sugar, 10 dash Miracle Mile Forbidden Barrel Aged Bitters, 3  Roasted Cherries, 1 oz Black Rum, 1 tsp Everclear",Roasted Cherry,"In a blender, combine white rum, Luxardo, coconut milk, lime juice, sugar, bitters, 3 cherries, and 1 cup ice and purée until smooth; pour into a tiki glass and top with black rum. Place halved cherry, cut-side up, on top of cocktail and fill with Everclear before lighting cherry on fire.","2 oz White Rum, 1.75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Coconut Milk, 1 oz Fresh Lime Juice, .5 tsp Demerara Sugar, 10 dash Miracle Mile Forbidden Barrel Aged Bitters, 3  Roasted Cherries, 1 oz Black Rum, 1 tsp Everclear,Roasted Cherry"
238,KARLSSON'S KOLD BREW,"1 oz Karlsson's Gold Vodka (Coffee-Infused), .75 oz Café Moka, .75 oz Cardamom syrup*, 2 Tbsp Soy milk coffee foam**, 1 pinch Espresso powder",,In a Boston shaker combine all liquid ingredients (not the foam) with cracked ice and shake vigorously for 20 seconds. Double strain the cocktail into an espresso cup. Using an aero-latte frothing whip froth the coffee infused soy milk and spoon the froth over the cocktail. Sprinkle with a little espresso powder.,"1 oz Karlsson's Gold Vodka (Coffee-Infused), .75 oz Café Moka, .75 oz Cardamom syrup*, 2 Tbsp Soy milk coffee foam**, 1 pinch Espresso powder,"
239,ROOT DOWN,"2 oz Karlsson's Gold Vodka (Root-Infused), .5 oz Cardamaro, .5 oz Fresh lemon juice, .5 oz Grade-A dark maple syrup, 1.5 oz Fenteman's ginger beer, 4 inch Whole licorice root",Licorice root,In a Boston shaker combine all liquid ingredients except the ginger beer with whole hard ice and shake vigorously for 30 seconds. Double strain the cocktail over whole hard ice cubes in a 13 oz. rocks glass and top with the ginger beer. Garnish with the licorice root.,"2 oz Karlsson's Gold Vodka (Root-Infused), .5 oz Cardamaro, .5 oz Fresh lemon juice, .5 oz Grade-A dark maple syrup, 1.5 oz Fenteman's ginger beer, 4 inch Whole licorice root,Licorice root"
240,CHILLI VANILLI,"2 oz Karlsson's Gold Vodka, .5 oz Lustau Amontillado Sherry, .75 oz St. Elizabeth Allspice Dram, .75 oz Burned Demerara Sugar Syrup*, 1 tincture Bob's Vanilla Bitters, .75 oz Vanilla Powder, 1  Egg White",,In a Boston shaker combine all liquid ingredients in a shaker without ice and dry shake for 10-12 shakes to blend the egg whites. Once blended add cracked ice and shake vigorously for 30 seconds and strain into a frozen 4.5 oz. coupe glass. Let the cocktail settle and sprinkle with the vanilla powder.,"2 oz Karlsson's Gold Vodka, .5 oz Lustau Amontillado Sherry, .75 oz St. Elizabeth Allspice Dram, .75 oz Burned Demerara Sugar Syrup*, 1 tincture Bob's Vanilla Bitters, .75 oz Vanilla Powder, 1  Egg White,"
241,PEAR AND CRANBERRY FIZZ,"1.5 oz Karlsson's Gold Vodka, .5 oz Fresh Lemon Juice, 1 oz Rothman & Winter Orchard Pear Liqueur, .75 oz Cranberry Juice, 1 tincture Fee Brothers Cranberry Bitters, 10  Fresh Cranberries",2 Pear slices,In a Boston shaker combine and muddle the fresh lemon juice and cranberries. Add the remaining liquid ingredients except the club soda with hard ice and shake vigorously for 20 seconds pour directly into a highball add a little more ice to fill the glass and top with the club soda. Garnish with a few pear slices and fresh cranberries.,"1.5 oz Karlsson's Gold Vodka, .5 oz Fresh Lemon Juice, 1 oz Rothman & Winter Orchard Pear Liqueur, .75 oz Cranberry Juice, 1 tincture Fee Brothers Cranberry Bitters, 10  Fresh Cranberries,2 Pear slices"
242,ASIAN AFFAIR,"2 oz Karlsson's Gold Vodka, .75 oz Boiron Kalamansi Juice, .5 oz Thai Basil Syrup*, .5 oz Cocchi Americano, 2 oz Fentimans Ginger Beer",Young Australian Candied Ginger,"In a Boston shaker, combine all liquid ingredients except the ginger beer with cracked ice and shake vigorously for 30 seconds. Double strain over ice into a 16 oz. highball or Collins glass and top with the ginger beer. Garnish with the candied ginger using 2 toothpicks placed on the rim of the glass.

*Thai Basil Syrup:
-- 1 C Chopped Thai Basil
-- 2 C Granulated Sugar
-- 1 C Water

In a 1 qt. saucepot bring the water and sugar to boil and stir until sugar is completely dissolved. Add the chopped Thai basil to the pot and remove from heat. Let the basil steep for 1 hour or until syrup is room temperature. Strain the basil out of the syrup using a fine mesh sieve and store covered in fridge.","2 oz Karlsson's Gold Vodka, .75 oz Boiron Kalamansi Juice, .5 oz Thai Basil Syrup*, .5 oz Cocchi Americano, 2 oz Fentimans Ginger Beer,Young Australian Candied Ginger"
243,PUMPKIN AND SPICE,"1.5 oz Oatmeal-Infused Karlsson's Gold Vodka*, 1.5 oz Ginger Beer, .5 oz Oloroso Sherry, .25 oz St. Elizabeth Allspice Dram, .25 oz Molasses, 1 bsp Pumpkin Puree, 1 tincture Fee Brothers Black Walnut Bitters",Fresh Nutmeg,"In a Boston shaker, combine all liquid ingredients except the ginger beer. Shake vigorously for 25 seconds and strain over fresh ice in a rocks glass. Top with the ginger beer and grate the fresh nutmeg over the top.

*Oatmeal-Infused Karlsson's Gold Vodka:
-- 750 ml Karlsson's Gold Vodka
-- 2 C Raw Oats

Using a large sauté pan toast the oats for about 10 minutes constantly watching them and making sure they don't burn. Once aromatic and have a touch of color add the oats to a mason jar with the vodka and let infuse for 12-24 hours. Strain and press out all the vodka from the oats. Return the liquid to the bottle and store in a cool dark place.","1.5 oz Oatmeal-Infused Karlsson's Gold Vodka*, 1.5 oz Ginger Beer, .5 oz Oloroso Sherry, .25 oz St. Elizabeth Allspice Dram, .25 oz Molasses, 1 bsp Pumpkin Puree, 1 tincture Fee Brothers Black Walnut Bitters,Fresh Nutmeg"
244,TAMBOURINE,"2 oz Karlsson's Gold Vodka, .75 oz Pineapple juice, .5 oz Fresh lime juice, .5 oz Kaffir lime & tamarind compound syrup*",Kaffir lime leaf (cut lengthwise),"In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with 1/2 piece kaffir lime leaf. (Clap the leaf several times before placing on top of the cocktail to release the aromatics.)","2 oz Karlsson's Gold Vodka, .75 oz Pineapple juice, .5 oz Fresh lime juice, .5 oz Kaffir lime & tamarind compound syrup*,Kaffir lime leaf (cut lengthwise)"
245,EDEN'S APPLE,"1.5 oz Apple & Cinnamon-Infused Karlsson's Gold Vodka, .75 oz J. T. Taylor's Falernum, .5 oz Fresh lemon juice, 1 oz Fresh Cider, 1 tincture Bar Keep Baked apple bitters",Apple slice,"In a Boston shaker, combine all liquid ingredients with cracked ice and shake vigorously for 30 seconds. Double strain into a frozen 4.5 oz. coupe glass. Garnish with the apple slice. Can also be served warm.","1.5 oz Apple & Cinnamon-Infused Karlsson's Gold Vodka, .75 oz J. T. Taylor's Falernum, .5 oz Fresh lemon juice, 1 oz Fresh Cider, 1 tincture Bar Keep Baked apple bitters,Apple slice"
246,SWEDISH 75,"1 oz Karlsson's Gold Vodka, 1 oz Lemon curd (or a large bar spoon), 1.5 oz Brut Champagne",Lemon twist,"In a Boston shaker, combine the Karlsson's and the lemon curd with whole hard ice and shake vigorously for 30-40 seconds. Add the champagne to the shaker, stir until mixed well and double strain the cocktail into a 4.5 oz. coupe glass. Garnish the cocktail with a lemon twist making sure to release all the essential oils into the glass. Rub the entire rim with the twist before dropping the twist into the glass.","1 oz Karlsson's Gold Vodka, 1 oz Lemon curd (or a large bar spoon), 1.5 oz Brut Champagne,Lemon twist"
247,BARBARY COAST BULLDOG,"1.5 oz Hophead Vodka, .75 oz Luxardo Espresso Italian Liqueur, 2 oz Cream, 2 oz Mexican Coca Cola",Luxardo Cherry,"In a bucket glass, combine Hophead, coffee liqueur, and cream. Add Ice and give a quick stir. Top with cold Mexican Coke and garnish with a Luxardo Cherry.","1.5 oz Hophead Vodka, .75 oz Luxardo Espresso Italian Liqueur, 2 oz Cream, 2 oz Mexican Coca Cola,Luxardo Cherry"
248,APPLE SHRUB SPRITZ,"1 oz Karlsson's Gold Vodka, 2.5 oz Spiced apple shrub*, 2 oz Chilled club soda",Apple slices (sliced very thin),"In a chilled mixing glass combine the Karlsson's gold vodka and the spiced apple shrub with cracked ice and stir for 20 seconds. Add the chilled club soda to the mixing glass, stir just until mixed and strain into a frozen champagne flute. Garnish with two apple slices placed on the rim.","1 oz Karlsson's Gold Vodka, 2.5 oz Spiced apple shrub*, 2 oz Chilled club soda,Apple slices (sliced very thin)"
249,GOAT TOWN SWIZZLE,"1 oz Old Potrero Straight Rye Whiskey, .5 oz Luxardo Apricot Liqueur, .33 oz Luxardo Fernet, .75 oz Lemon juice, .5 oz Homemade orgeat, 4 dash Angostura bitters, 3 dash Fee Bros Orange bitters","Mint sprig, Lemon peel","In a collins glass, add ingredients beginning with orgeat and ending with rye. Fill glass half full with minted crushed ice. Begin ""swizzling"" cocktail with stick until cocktail is blended and ice forms on outside of glass. Top with more minted crushed ice and garnish with lemon and mint.","1 oz Old Potrero Straight Rye Whiskey, .5 oz Luxardo Apricot Liqueur, .33 oz Luxardo Fernet, .75 oz Lemon juice, .5 oz Homemade orgeat, 4 dash Angostura bitters, 3 dash Fee Bros Orange bitters,Mint sprig, Lemon peel"
250,THE NO.3 WINTER CUP,"25 ml No.3 London Dry Gin, 25 ml King's Ginger Liqueur, 12.5 ml Red Vermouth (Antica Formula), 150 ml Good quality sharp lemonade","Pink Grapefruit wedge, Ginger","In a highball glass full of ice add No.3, King's Ginger and red vermouth. Top up with the lemonade and serve with a slice of ginger and a wedge of pink grapefruit.","25 ml No.3 London Dry Gin, 25 ml King's Ginger Liqueur, 12.5 ml Red Vermouth (Antica Formula), 150 ml Good quality sharp lemonade,Pink Grapefruit wedge, Ginger"
251,LA LA LAND,"1.5 oz Karlsson's Gold Vodka, .5 oz Aperol, .5 oz Raspberry/white pepper syrup, .5 oz Fresh lemon juice, .5 oz Fresh cucumber juice, 4-5 pc Fresh mint, 2 dashes Celery bitters",Cucumber slices,"In a mixing glass muddle mint, add all other ingredients and ice, shake, fine strain into a double old fashioned glass over fresh cracked ice. Garnish with cucumber slices and raspberries.","1.5 oz Karlsson's Gold Vodka, .5 oz Aperol, .5 oz Raspberry/white pepper syrup, .5 oz Fresh lemon juice, .5 oz Fresh cucumber juice, 4-5 pc Fresh mint, 2 dashes Celery bitters,Cucumber slices"
252,VIEUX CARRÉ,".75 oz Rye Whiskey, .75 oz H by HINE, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1 bsp Benedictine, 2 dash Angostura Bitters, 2 dash Peychaud's Bitters",Lemon Twist,"In a mixing glass, add all ingredients, then fill halfway with ice. Stir with a barspoon until chilled, about 30 seconds. Strain into a chilled cocktail glass. Rub the lemon twist around the rim, drop it in the cocktail, and serve.",".75 oz Rye Whiskey, .75 oz H by HINE, .75 oz Tempus Fugit Alessio Vermouth Bianco, 1 bsp Benedictine, 2 dash Angostura Bitters, 2 dash Peychaud's Bitters,Lemon Twist"
253,MACK'S APPLE,"1.5 oz Mezcal, .5 oz Fresh Lemon Juice, 1 oz Apple Cider Reduction, .5 oz Cinnamon-Chipotle Syrup*, 1 dash House-made Apple Pie Bitters**",Fresh Cinnamon (Grated),"In a mixing glass, add ice and shake with all of the ingredients. Strain over new ice (large sphere ice cube) and serve in old fashioned glass and grate fresh cinnamon over the ice.

*Apple Cider Reduction: Boil apple cider until it reduces in volume by half.

**Cinnamon-Chipotle Syrup: Bring 1 cup sugar, 1 cup water and 3 cinnamon sticks to boil, take off heat and let steep for 20mins, add chipotle powder and mix well.","1.5 oz Mezcal, .5 oz Fresh Lemon Juice, 1 oz Apple Cider Reduction, .5 oz Cinnamon-Chipotle Syrup*, 1 dash House-made Apple Pie Bitters**,Fresh Cinnamon (Grated)"
254,THE LADYBIRD,"2 oz Pink Pigeon Rum, 2 dash Fee Brothers Black Walnut Bitters, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Luxardo Fernet","Luxardo Cherry, Lemon Spiral","In a mixing glass, add the first three ingredients over ice. Stir to chill. In a separate coupe glass, add .5 oz of Luxardo Fernet and swirl glass until it is fully coated with the Fernet. Strain chilled cocktail from mixing glass into the Fernet-rinsed coupe (discard excess fernet). Garnish by placing a Luxardo Cherry into the bottom of the glass.","2 oz Pink Pigeon Rum, 2 dash Fee Brothers Black Walnut Bitters, .5 oz Luxardo Sangue Morlacco Cherry Liqueur, .5 oz Luxardo Fernet,Luxardo Cherry, Lemon Spiral"
255,PASSIONATE PIGEON ,"50 ml Pink Pigeon Rum, 50 ml Lychee juice, .5  Lime, juiced, 1  Passion fruit, 1 float Ginger beer",,"In a mixing glass, combine Pink Pigeon Rum, Lychee Juice and the juice from 1/2 a lime. Add the pulp of one passion fruit (to prep passion fruit: cut in half, setting aside a small slice for garnish and scoop out the pulp and drop both the pulp and peel into the glass). Add ice and shake vigorously. Pour in a tall glass over ice, top with ginger beer.  Garnish with the passion fruit wedge to serve.","50 ml Pink Pigeon Rum, 50 ml Lychee juice, .5  Lime, juiced, 1  Passion fruit, 1 float Ginger beer,"
256,MAYAN DECADENCE,"1.75 oz Chinaco Anejo Tequila, .5 oz Xtabentun Liqueur (honey, anis), 3 dash Bittermens Xocolatl Mole Bitters, 3 dash Fee Brothers Aztec Chocolate Bitters",Orange Peel,"In a pint glass pour all the ingredients, stir and strain into a bucket glass 3/4 full of ice and garnish with an orange peel.","1.75 oz Chinaco Anejo Tequila, .5 oz Xtabentun Liqueur (honey, anis), 3 dash Bittermens Xocolatl Mole Bitters, 3 dash Fee Brothers Aztec Chocolate Bitters,Orange Peel"
257,THE NO.3 WINTER PUNCH,"1 part No.3 London Dry Gin, 1 part King's Ginger Liqueur, .5 part Red Vermouth (Antica Formula), 6 part Good quality sharp lemonade  ","Pink Grapefruit wedge, Ginger",In a punch bowl add ingredients per person.,"1 part No.3 London Dry Gin, 1 part King's Ginger Liqueur, .5 part Red Vermouth (Antica Formula), 6 part Good quality sharp lemonade  ,Pink Grapefruit wedge, Ginger"
258,XMAS IN JUNIPER,"1 oz Junipero Gin, .75 oz Spiced Apricot Syrup*, .5 oz House-made Orgeat, .5 oz Lemon Juice,   Egg Whites,  top Anchor Christmas Ale 2016",Marigold Flower,"In a shaker mix all ingredients discarding the beer and dry shake vigorously to activate the egg whites. Add ice and shake for about 10 sec and double strain into 8 oz glass and top with beer. Garnish with a marigold flower.

*Spiced Apricot Syrup:
-- Organic Earl Grey Tea
-- Green Cardamom
-- Juniper Berries","1 oz Junipero Gin, .75 oz Spiced Apricot Syrup*, .5 oz House-made Orgeat, .5 oz Lemon Juice,   Egg Whites,  top Anchor Christmas Ale 2016,Marigold Flower"
259,MUDDLED MISSION,"1.5 oz Junipero Gin, 1 oz St. Germain, .25 oz Yellow Chartreuse, .75 oz Lemon Juice, 1  Strawberry",Strawberry,"In a shaker, gently muddle the strawberry. Add the remaining ingredients and shake with ice. Strain into a coupe. Garnish with strawberry.","1.5 oz Junipero Gin, 1 oz St. Germain, .25 oz Yellow Chartreuse, .75 oz Lemon Juice, 1  Strawberry,Strawberry"
260,THE SOUTHSIDE,"2 oz No.3 London Dry Gin, 1 oz Fresh lemon juice, 1 oz Simple syrup, 5 leaves Mint leaves",Mint sprig,"In a shaker, muddle the mint and simple syrup. Add the lemon juice and gin, and fill with ice. Shake, and double-strain into a cocktail glass. Garnish with a mint sprig.

","2 oz No.3 London Dry Gin, 1 oz Fresh lemon juice, 1 oz Simple syrup, 5 leaves Mint leaves,Mint sprig"
261,APRICOT BLUSH,"1 oz Vanilla flavored Vodka, .75 oz Luxardo Apricot Liqueur, 1 oz Fresh sweet n' sour mix, 3 oz Prosecco,  oz Sliced plum, 2 sprigs Mint sprig",Sprig of mint,"In a tall glass muddle the mint and plum with fresh sweet n' sour, pour the liquors then fill up with ice and top with Prosecco.","1 oz Vanilla flavored Vodka, .75 oz Luxardo Apricot Liqueur, 1 oz Fresh sweet n' sour mix, 3 oz Prosecco,  oz Sliced plum, 2 sprigs Mint sprig,Sprig of mint"
262,NIKKA COFFEY MALT OLD FASHIONED,"2.5 oz Nikka Coffey Malt Whisky, .5 oz Demerara Syrup, 4 dash Tempus Fugit Abbott's Bitters",Lemon Peel,"In an old fashioned glass, muddle the lemon peel with the bitters and demerara syrup, just enough to bruise the peel and release its oils. Add Coffey Malt and ice, and stir for 20 to 30 seconds, or until well chilled.","2.5 oz Nikka Coffey Malt Whisky, .5 oz Demerara Syrup, 4 dash Tempus Fugit Abbott's Bitters,Lemon Peel"
263,HONEY BASIL SMASH,"1.5 oz English Harbour Rum 5 YO, .25 oz Honey, 3  Lime Wedges, 4  Basil Leaves,  top Ginger Ale",Basil Leaf,"In collins glass, gently muddle honey, lime and basil leaves. Add English Harbour rum and ice and stir. Top with ginger ale.","1.5 oz English Harbour Rum 5 YO, .25 oz Honey, 3  Lime Wedges, 4  Basil Leaves,  top Ginger Ale,Basil Leaf"
264,NIKKA COFFEY GRAIN PERFECT MANHATTAN,"2 oz Nikka Coffey Grain Whisky, .5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .5 oz Dolin Vermouth, 2 dash Tempus Fugit Abbott's Bitters",Luxardo Cherry,"In mixing glass or cocktail shaker filled with ice, combine whiskey, vermouth, and bitters. Stir well, about 20 seconds, then strain into cocktail glass. Add cherry and serve.","2 oz Nikka Coffey Grain Whisky, .5 oz Tempus Fugit Alessio Vermouth di Torino Rosso, .5 oz Dolin Vermouth, 2 dash Tempus Fugit Abbott's Bitters,Luxardo Cherry"
265,JUNIPEROTIVO,"1.5 oz Junipero Gin, .5 oz Simple Syrup, .5 oz Lime Juice, .25 oz Pomegranate Syrup, 4 large Mint Leaves",Mint Leaves,"In mixing glass, using a spoon, crush 2 mint leaves in the simple syrup, and add gin, lime juice and pomegranate syrup. Pour into ice-filled shaker. Shake well and strain into chilled cocktail glass. Float remaining 2 mint leaves for garnish.","1.5 oz Junipero Gin, .5 oz Simple Syrup, .5 oz Lime Juice, .25 oz Pomegranate Syrup, 4 large Mint Leaves,Mint Leaves"
266,DESMOND'S CHOICE,"2 oz Hirsch Small Batch Reserve Bourbon, .5 oz Creme de Cacao, .25 oz Pierre Ferrand Dry Orange Curacao, 3 dash The Bitter Truth Jerry Thomas Bitters","Orange Peel, Luxardo Cherry","In old fashioned glass, lightly muddle orange zest with bitters and orange curacao.  Add bourbon and creme de cacao then stir with ice for proper dilution (depending on ice) and mixing of ingredients.","2 oz Hirsch Small Batch Reserve Bourbon, .5 oz Creme de Cacao, .25 oz Pierre Ferrand Dry Orange Curacao, 3 dash The Bitter Truth Jerry Thomas Bitters,Orange Peel, Luxardo Cherry"
267,CAFE CREOLE,"1.5 oz Pink Pigeon Rum, 1 oz Luxardo Espresso Italian Liqueur, 1.5 oz Heavy cream, .75 oz Simple syrup",,"In one shaker, mix heavy cream and simple syrup and dry shake vigorously until it's whipped.
In another, shake Pink Pigeon Rum and Luxardo Espresso with ice.  Pour into a coupe, and then carefully top with the cream.  It should layer perfectly.  The vanilla complexity of the rum pairs awesomely with coffee and cream.
","1.5 oz Pink Pigeon Rum, 1 oz Luxardo Espresso Italian Liqueur, 1.5 oz Heavy cream, .75 oz Simple syrup,"
268,LA NUEVA MODA (THE NEW FASHION),"2 oz Chinaco Anejo Tequila, .25 oz Mezcal, .25 oz Luxardo Maraschino Liqueur, 2 drops Agave Nectar, 3 dash Fee Brothers Aztec Chocolate Bitters, 2 cubes Sugar",Luxardo Cherries,"In rocks glass, make an emulsion by using a glass muddler (wood muddlers absorb the ingredients too much). Place sugar cubes in glass. Add mezcal onto the cubes. Add bitters, onto cubes. Add drops of agave nectar, onto cubes. Add Luxardo, onto cubes. Muddle well to make a ""syrup"" paying attention the blending of all ingredients. 
Take the long orange peel and twist all the essential oils into glass. Leave peel in glass. 
Place Gläce Luxury Ice G-Cubed in glass. Rotate Gläce G-Cubed so that it becomes coated and chills the ""syrup"" swirl around the inside of glass. Pour the Anejo Tequila over Gläce G-Cubed. Stir with glass swizzle. Garnish with 3 Luxardo Cherries, speared.
","2 oz Chinaco Anejo Tequila, .25 oz Mezcal, .25 oz Luxardo Maraschino Liqueur, 2 drops Agave Nectar, 3 dash Fee Brothers Aztec Chocolate Bitters, 2 cubes Sugar,Luxardo Cherries"
269,AND THE CHERRY ON TOP IS...,"1 oz Luxardo Maraschino Liqueur, 3 oz Vodka, .5 oz Root 23 Cherry Almond Simple Syrup, 1 oz Lemon Juice,  splash Club Soda","6 Muddled (pitted) Cherries, 2 Cherries","In the bottom of a cocktail shaker, muddle pitted cherries if using. Add Luxardo Maraschino, vodka, fresh lemon juice and simple syrup. Shake hard, then double strain (though a fine mesh strainer) into a tall glass with fresh ice. Add a splash of soda and stick a cherry on top.","1 oz Luxardo Maraschino Liqueur, 3 oz Vodka, .5 oz Root 23 Cherry Almond Simple Syrup, 1 oz Lemon Juice,  splash Club Soda,6 Muddled (pitted) Cherries, 2 Cherries"
270,PHAD THAI,"2 oz Karlsson's Gold Vodka, 1 oz Nigori sake (Unfiltered), .5 oz Fresh Shibori Yuzu juice, .5 oz Simple syrup (2:1 sugar water), .5 pc Thai chili, 4-5 sprigs Fresh cilantro (stems on)",Thai chili piece,"In the small tin of a Boston shaker set, combine the cilantro sprigs, thai chili, yuzu juice, simple syrup and a small piece of ice. Muddle these ingredients well. Add the remaining liquid ingredients to the shaker with cracked ice and shake vigorously for 20 seconds. 
Double strain the cocktail over ice into a 13 oz. rocks glass. 
Garnish with the Thai chili piece and the cilantro sprig.","2 oz Karlsson's Gold Vodka, 1 oz Nigori sake (Unfiltered), .5 oz Fresh Shibori Yuzu juice, .5 oz Simple syrup (2:1 sugar water), .5 pc Thai chili, 4-5 sprigs Fresh cilantro (stems on),Thai chili piece"
271,THE SWEDISH,"1.5 oz Karlsson's Gold Vodka, 1 oz Potato juice*, .5 oz Benedictine, .5 oz Lemon juice , .25 oz Cinnamon honey syrup**, 1 bsp Black pepper, .5 bsp Salt",,"Juice potato and strain into a nearby usable container (must be done as close to drink making process as possible since oxidization will occur quickly). Add vodka, potato juice, lemon, Benedictine, cinnamon-honey syrup, and salt and pepper to mixing glass. Add ice, and shake and fine strain over fresh ice.","1.5 oz Karlsson's Gold Vodka, 1 oz Potato juice*, .5 oz Benedictine, .5 oz Lemon juice , .25 oz Cinnamon honey syrup**, 1 bsp Black pepper, .5 bsp Salt,"
272,SPRING CLEANSE,"1  Half Small Cucumber, 1  Medium Carrot, 1  Green Apple, cored, 3-4  Kale Leaves, 1  Big Handful Spinach Leaves, 1  Small Hunk Ginger, .5-1 oz Pastis Prado",Mint Sprig,"Juice the ingredients and pour into a chilled glass (do not use ice or the drink will lose body).

Top with Pastis Prado or absinthe and garnish with a sprig of mint.","1  Half Small Cucumber, 1  Medium Carrot, 1  Green Apple, cored, 3-4  Kale Leaves, 1  Big Handful Spinach Leaves, 1  Small Hunk Ginger, .5-1 oz Pastis Prado,Mint Sprig"
273,THE KING'S WINTER CUP,"1.5 oz King's Ginger Liqueur, 1 oz Fresh pressed Apple Cider, 4 oz Hard Apple Cider, 1 stick Cinnamon stick",,Method:  Simmer on a gentle heat for 30 minutes and garnish with a cinnamon stick,"1.5 oz King's Ginger Liqueur, 1 oz Fresh pressed Apple Cider, 4 oz Hard Apple Cider, 1 stick Cinnamon stick,"
274,PRICKLY PEAR MARGARITA,"2 oz Chinaco Blanco Tequila, 1 oz Lime Juice, .5 oz Prickly Pear Puree, .5 oz Agave",Mint Sprig,Mint salt on the rim. Garnish with mint sprig.,"2 oz Chinaco Blanco Tequila, 1 oz Lime Juice, .5 oz Prickly Pear Puree, .5 oz Agave,Mint Sprig"
275,THE SIXTH SENSE,"1 oz Junipero Gin, 1 oz Luxardo Amaro Abano, 1.5 oz Cream of Coconut, .5 oz Fresh pineapple juice, .5 oz Fresh lime juice, 3 dashes Angostura bitters",,Mix all ingredients in a blender until smooth and icy. Pout into a glass and top with 3 dashes of angostura bitters.,"1 oz Junipero Gin, 1 oz Luxardo Amaro Abano, 1.5 oz Cream of Coconut, .5 oz Fresh pineapple juice, .5 oz Fresh lime juice, 3 dashes Angostura bitters,"
276,PINK PUNCH,"3 c Pink Pigeon Rum, 3 c Orange Juice, 3 c Pineapple Juice, 3 c Ginger Ale, .25 c Grenadine, 1  Fresh-Squeezed Lime Juice",,"Mix all ingredients in a large pitcher, add ice, and enjoy!","3 c Pink Pigeon Rum, 3 c Orange Juice, 3 c Pineapple Juice, 3 c Ginger Ale, .25 c Grenadine, 1  Fresh-Squeezed Lime Juice,"
